M0005;;;;;;;;;;;
Wohnungen nach Nutzfläche und Gemeinde-Bezirken 1981-2021;;;;;;;;;;;
Gemeindebezirk;Geo-ID;Ø Wohnnutzfläche in m²;;;;;;;;;
;;pro Wohnung;;;;;pro BewohnerIn;;;;
;;1981;1991;2001;2011;2021;1981;1991;2001;2011;2021
Wien;;64;68;71;72;75;31;33;38;35;38
1. Innere Stadt;90100;101;100;104;104;105;51;53;56;55;57
2. Leopoldstadt;90200;65;67;68;70;70;30;32;34;33;35
3. Landstraße;90300;68;70;73;74;73;34;36;39;38;38
4. Wieden;90400;80;81;83;84;84;41;42;46;44;44
5. Margareten;90500;58;61;63;64;64;30;32;34;34;34
6. Mariahilf;90600;74;76;77;78;78;37;39;42;41;42
7. Neubau;90700;72;75;77;78;79;37;40;43;42;44
8. Josefstadt;90800;77;80;83;83;83;40;42;45;42;45
9. Alsergrund;90900;72;74;78;78;78;37;39;43;41;43
10. Favoriten;91000;55;60;62;64;65;26;29;34;31;31
11. Simmering;91100;61;64;67;69;70;26;29;36;32;32
12. Meidling;91200;57;61;64;65;65;28;31;34;32;32
13. Hietzing;91300;78;81;85;88;89;36;40;46;43;44
14. Penzing;91400;62;67;71;72;73;30;34;38;36;37
15. Rudolfsheim-Fünfhaus;91500;53;56;60;61;61;28;28;31;31;31
16. Ottakring;91600;52;56;60;62;63;27;29;32;31;32
17. Hernals;91700;57;62;67;69;69;29;31;35;34;35
18. Währing;91800;68;73;78;79;79;35;37;41;40;41
19. Döbling;91900;74;77;80;82;83;35;38;44;41;42
20. Brigittenau;92000;54;58;60;61;62;27;29;32;30;31
21. Floridsdorf;92100;63;68;72;74;74;27;32;38;35;35
22. Donaustadt;92200;71;75;79;81;81;28;32;42;36;37
23. Liesing;92300;72;77;80;81;81;30;34;43;38;38
Quelle: Statistik Austria – Gebäude- bzw. Häuser- und Wohnungszählungen 1981–2001, Registerzählung 2011-2021.;;;;;;;;;;;
